城市,景点名,地点,距离,坐标,评论数,评论分,热评分,封面,是否免费,价格,原价,类别信息,标签,是否5A
上海,外滩万国建筑博览群,外滩核心区,距市中心1.8km,"31.244866, 121.495864",618,4.8,4.9,https://dimg04.c-ctrip.com/images/fd/tg/g2/M07/8A/FB/Cghzf1Ww2y6AIG2mABTkcdef0e4223.jpg,True,0,0,,"城市漫步, 夜游观景",
上海,Paradox Museum 悖论博物馆,淮海路/新天地地区,距市中心1.4km,"31.225906, 121.471762",48,4.5,4.9,https://dimg04.c-ctrip.com/images/1lo3k12000fqx1p8dD50A.png,False,188.0,0,,"博物馆, 场馆展馆",
上海,上海 · 音乐剧《寻找李二狗》,衡山路地区,距市中心2.3km,"31.218227, 121.468812",0,0.0,4.9,https://dimg04.c-ctrip.com/images/0106t12000ihqks4fF5CE.jpg,False,0,0,,"演出, 话剧",
上海,淮海路,淮海路/新天地地区,距市中心1.4km,"31.224781, 121.476199",577,4.7,4.9,https://dimg04.c-ctrip.com/images/100e0y000000lxc8x9D09.jpg,True,0,0,,城市漫步,
上海,加勒比海盗——沉落宝藏之战,迪士尼度假区,距市中心20.3km,"31.151686, 121.668287",209,4.8,4.9,https://dimg04.c-ctrip.com/images/100c1f000001gswgo8BD6.jpg,False,0,0,,,
上海,上海 · 沉浸式悬疑惊悚音乐剧《嗜血博士》,人民广场地区,距市中心604m,"31.241568, 121.481872",0,0.0,4.9,https://dimg04.c-ctrip.com/images/0105312000feuazhaA48F.jpg,False,0,0,,"演出, 话剧",
上海,SKY RING 屋顶摩天轮,北外滩地区,距市中心1.6km,"31.250414, 121.478586",593,4.3,4.8,https://dimg04.c-ctrip.com/images/100s080000003c2g9CA30.jpg,False,60.0,80.0,,"地标观景, 夜游观景",
上海,“龙船”黄浦江游船,,距市中心3.2km,"31.227439, 121.511876",335,4.4,4.8,https://dimg04.c-ctrip.com/images/0105i120008ectz1512F7.jpg,False,264.0,320.0,,"夜游观景, 乘船游览 ",
上海,上海 · 开心麻花喜剪吹沉浸剧场《疯狂理发店》,北外滩地区,距市中心4.5km,"31.270062, 121.505281",0,0.0,4.8,https://dimg04.c-ctrip.com/images/0102w12000iiwzl0hD022.png,False,0,0,,"演出, 沉浸式戏剧",
上海,《虎鲸传奇》,滴水湖临港地区,距市中心54.0km,"30.919137, 121.908205",352,4.7,4.8,https://dimg04.c-ctrip.com/images/100v1f000001h1b2w3A53.jpg,False,0,0,,科技馆,
上海,上海外滩美术馆,外滩核心区,距市中心1.8km,"31.246906, 121.494096",483,4.7,4.8,https://dimg04.c-ctrip.com/images/10091f000001gsnwn7FE0.jpg,False,0,0,,"特色展馆, 场馆展馆",
上海,浦江郊野公园,浦江镇地区,距市中心20.4km,"31.054805, 121.514275",1107,4.4,4.8,https://dimg04.c-ctrip.com/images/0100612000f76nx0z27BD.jpg,True,0,0,,"遛娃宝藏地, 踏青必去",4A
上海,上海奇迹花园,浦江镇地区,距市中心19.8km,"31.060675, 121.514244",1664,4.4,4.8,https://dimg04.c-ctrip.com/images/1lo5812000dhzo0k075C9.jpg,False,50.0,50.0,,"遛娃宝藏地, 踏青必去",4A
上海,南京西路,静安寺/南京西路,距市中心2.0km,"31.233077, 121.459849",91,4.6,4.8,https://dimg04.c-ctrip.com/images/0105512000ik183o4B481.jpg,True,0,0,,城市漫步,
上海,上海 · 陈明2025《等你爱我》巡回演唱会,静安寺/南京西路,距市中心2.1km,"31.23306, 121.458379",0,0.0,4.8,https://dimg04.c-ctrip.com/images/0104c12000cf2qfcpD82B.png,False,0,0,,演唱会,
上海,远望1号,打浦桥地区,距市中心4.2km,"31.200342, 121.495643",209,4.7,4.8,https://dimg04.c-ctrip.com/images/0100612000f6s1lb8D8AE.jpg,False,0,0,,"夜游观景, 乘船游览 ",
上海,水裹·汤泉生活,虹桥机场/国家会展中心,距市中心15.9km,"31.195997, 121.320354",75,4.4,4.8,https://dimg04.c-ctrip.com/images/01072120008u51g2sFE3D.jpg,False,279.0,0.0,,洗浴泡汤,
上海,上海犹太难民纪念馆,北外滩地区,距市中心4.3km,"31.259707, 121.515776",556,4.7,4.8,https://dimg04.c-ctrip.com/images/0104p120008cu2drw1517.jpg,False,20.0,20.0,,,4A
上海,东林寺,金山枫泾古镇地区,距市中心47.6km,"30.900406, 121.172228",697,4.7,4.8,https://dimg04.c-ctrip.com/images/1A0p1a0000018yzig2063.jpg,False,26.0,30.0,,历史建筑,4A
上海,徐家汇天主教堂,徐家汇地区,距市中心5.6km,"31.1975, 121.442629",405,4.6,4.8,https://dimg04.c-ctrip.com/images/100r1c000001ds3cpD2AF.jpg,True,0,0,,,
上海,《亲密的奥黛丽·赫本》,外滩核心区,距市中心1.5km,"31.243498, 121.493842",16,4.9,4.8,https://dimg04.c-ctrip.com/images/1lo5u12000h8uobnwF993.jpg,False,79.0,99.0,,"特色展馆, 展览",
上海,西沙明珠湖景区,崇明岛/长兴岛/横沙岛,距市中心60.2km,"31.743662, 121.260028",711,4.7,4.8,https://dimg04.c-ctrip.com/images/100u1f000001gq6ugBB02.jpg,True,0,0,,"遛娃宝藏地, 踏青必去",5A
上海,星愿公园,迪士尼度假区,距市中心20.9km,"31.142785, 121.670336",16837,4.7,4.8,https://dimg04.c-ctrip.com/images/100m1f000001gzmmtCC2D.jpg,False,0,0,,夜游观景,
上海,秦潮觉醒XR大型沉浸式探索体验(衡山路店),徐家汇地区,距市中心4.5km,"31.20642, 121.449555",3,4.7,4.8,https://dimg04.c-ctrip.com/images/1lo5x12000e0g7xte01EB.png,False,178.0,298.0,,"特色展馆, 展览",
上海,上海 · 普通话/上海话 要玩喜剧脱口秀 | 精品剧场,人民广场地区,距市中心1.3km,"31.242868, 121.491091",0,0.0,4.7,https://dimg04.c-ctrip.com/images/0105o12000ilo93mn2F26.png,False,0,0,,"演出, 脱口秀",
上海,泰晤士小镇,佘山/松江大学城,距市中心34.2km,"31.039962, 121.204015",480,4.6,4.8,https://dimg04.c-ctrip.com/images/100c1f000001gsyucD378.jpg,True,0,0,,地标观景,
上海,顾村公园,顾村公园地区,距市中心15.6km,"31.34461, 121.376489",2892,4.5,4.7,https://dimg04.c-ctrip.com/images/100n0z000000ni777D3EE.jpg,False,20.0,0,上海近期热门景点榜 No.10,"遛娃宝藏地, 赏花胜地",4A
上海,上海展览中心,静安寺/南京西路,距市中心2.1km,"31.230961, 121.459249",487,4.6,4.7,https://dimg04.c-ctrip.com/images/0101a120008c4i9bsBE8F.jpg,True,0,0,,"特色展馆, 场馆展馆",
上海,邮政历史的宝藏展,北外滩地区,距市中心1.9km,"31.25014, 121.491381",0,0.0,4.7,https://dimg04.c-ctrip.com/images/0102l12000hyjcjtq0B7E.png,False,0,0,,"特色展馆, 展览",
上海,【上海】《罗丹：现代雕塑的启承》展览,新国际博览中心/世博园,距市中心5.1km,"31.190589, 121.485629",1,5.0,4.7,https://dimg04.c-ctrip.com/images/0104v12000hdnmjiuEA1D.jpg,False,106.0,120.0,,"特色展馆, 展览",
上海,上海海湾国家森林公园,奉贤开发区,距市中心45.8km,"30.868266, 121.693701",2681,4.4,4.7,https://dimg04.c-ctrip.com/images/0102h12000fathns65549.jpg,False,55.0,60.0,上海近期热门景点榜 No.6,"踏青必去, 赏花胜地",4A
上海,上海 · 2025华润饮料中超联赛上海海港队主场赛事,浦东金桥地区,距市中心12.4km,"31.238537, 121.610865",0,0.0,4.6,https://dimg04.c-ctrip.com/images/0102j12000dccjakx1598.png,False,0,0,,,
上海,小猪佩奇的玩趣世界,浦东金桥地区,距市中心7.9km,"31.247875, 121.562243",218,4.3,4.7,https://dimg04.c-ctrip.com/images/350v1b000001bh4q7C0C5.jpg,False,80.0,0.0,,"遛娃宝藏地, 儿童乐园",
上海,国家地理《百年魅力·天生出彩》经典影像大展 上海站,淮海路/新天地地区,距市中心2.1km,"31.222704, 121.46602",0,0.0,4.6,https://dimg04.c-ctrip.com/images/0102712000hqyxrc36616.png,False,0,0,,"特色展馆, 展览",
上海,静安体育中心,大宁国际商业区,距市中心7.1km,"31.297901, 121.459688",17,4.4,4.6,https://dimg04.c-ctrip.com/images/0103c120008qj3h547798.jpg,True,0,0,,场馆展馆,
上海,周浦花海,迪士尼度假区,距市中心20.6km,"31.12394, 121.652158",1075,4.2,4.6,https://dimg04.c-ctrip.com/images/1lo1n12000iscx8qvE994.jpg,False,29.9,60.0,,"遛娃宝藏地, 赏花胜地",
上海,上海梵高星空艺术馆,人民广场地区,距市中心616m,"31.241774, 121.481386",196,4.1,4.6,https://dimg04.c-ctrip.com/images/1lo6812000ekmekly08A2.jpg,False,49.9,120.0,,"特色展馆, 场馆展馆",
