序号,景区名称,客流数,舒适度,时间
172541,中国航海博物馆,45,舒适,2018/8/31 22:39
172542,周浦花海,283,舒适,2018/8/31 22:39
172543,东方假日田园,0,舒适,2018/8/31 22:39
172544,上海大观园,3,舒适,2018/8/31 22:39
172545,上海科技馆,0,舒适,2018/8/31 22:39
172546,上海古猗园,0,舒适,2018/8/31 22:38
172547,上海金山嘴渔村景区,49,舒适,2018/8/31 22:38
172548,上海田子坊景区,739,舒适,2018/8/31 22:37
172549,上海月湖雕塑公园,0,舒适,2018/8/31 22:37
172550,上海植物园,5726,舒适,2018/8/31 22:37
172551,上海植物园,5726,舒适,2018/8/31 22:36
172552,上海影视乐园,200,舒适,2018/8/31 22:36
172553,上海影视乐园,200,舒适,2018/8/31 22:35
172554,上海和平公园,3248,较舒适,2018/8/31 22:35
172555,上海世纪公园,506,舒适,2018/8/31 22:35
172556,上海植物园,5726,舒适,2018/8/31 22:35
172557,上海东林寺景区,0,舒适,2018/8/31 22:35
172558,东方假日田园,0,舒适,2018/8/31 22:34
172559,上海植物园,5726,舒适,2018/8/31 22:34
172560,上海大观园,3,舒适,2018/8/31 22:34
172561,上海科技馆,0,舒适,2018/8/31 22:33
172562,上海植物园,5726,舒适,2018/8/31 22:33
172563,上海古猗园,0,舒适,2018/8/31 22:33
172564,上海植物园,5726,舒适,2018/8/31 22:32
172565,上海月湖雕塑公园,0,舒适,2018/8/31 22:32
172566,上海辰山植物园,58,舒适,2018/8/31 22:32
172567,上海植物园,5726,舒适,2018/8/31 22:31
172568,上海田子坊景区,775,舒适,2018/8/31 22:31
172569,上海影视乐园,200,舒适,2018/8/31 22:31
172570,中国航海博物馆,45,舒适,2018/8/31 22:30
172571,上海植物园,5726,舒适,2018/8/31 22:30
172572,上海影视乐园,200,舒适,2018/8/31 22:30
172573,上海鲜花港,34,舒适,2018/8/31 22:30
172574,上海市青少年校外活动营地——东方绿舟,1688,舒适,2018/8/31 22:30
172575,碧海金沙景区,34,舒适,2018/8/31 22:30
172576,上海花米庄行乡村旅游景区,0,舒适,2018/8/31 22:30
172577,上海玉穗绿苑,1540,舒适,2018/8/31 22:30
172578,上海中医药博物馆,48,舒适,2018/8/31 22:30
172579,上海都市菜园景区,34,舒适,2018/8/31 22:30
172580,上海金山嘴渔村景区,48,舒适,2018/8/31 22:30
172581,上海嘉定州桥,158,舒适,2018/8/31 22:30
172582,上海植物园,5726,舒适,2018/8/31 22:29
172583,周浦花海,283,舒适,2018/8/31 22:29
172584,上海大观园,3,舒适,2018/8/31 22:29
172585,东方假日田园,0,舒适,2018/8/31 22:29
172586,朱家角古镇,650,舒适,2018/8/31 22:28
172587,上海植物园,5726,舒适,2018/8/31 22:28
172588,上海科技馆,0,舒适,2018/8/31 22:28
172589,上海古猗园,0,舒适,2018/8/31 22:28
172590,上海植物园,5726,舒适,2018/8/31 22:27
172591,上海田子坊景区,816,舒适,2018/8/31 22:26
172592,上海植物园,5726,舒适,2018/8/31 22:26
172593,上海月湖雕塑公园,0,舒适,2018/8/31 22:26
172594,上海影视乐园,200,舒适,2018/8/31 22:26
172595,上海东林寺景区,0,舒适,2018/8/31 22:25
172596,上海长风公园,0,舒适,2018/8/31 22:25
172597,上海和平公园,3248,较舒适,2018/8/31 22:25
172598,上海世纪公园,506,舒适,2018/8/31 22:25
172599,上海植物园,5726,舒适,2018/8/31 22:24
172600,上海影视乐园,200,舒适,2018/8/31 22:24
172601,上海大观园,3,舒适,2018/8/31 22:24
172602,东方假日田园,0,舒适,2018/8/31 22:24
172603,上海植物园,5726,舒适,2018/8/31 22:23
172604,上海古猗园,0,舒适,2018/8/31 22:23
172605,上海科技馆,0,舒适,2018/8/31 22:23
172606,上海金山嘴渔村景区,47,舒适,2018/8/31 22:22
172607,上海植物园,5726,舒适,2018/8/31 22:22
172608,上海植物园,5726,舒适,2018/8/31 22:21
172609,上海月湖雕塑公园,0,舒适,2018/8/31 22:21
172610,上海影视乐园,200,舒适,2018/8/31 22:21
